,Player,Pos_x,Age_x,Tm_x,G_x,MP_x,FG%_x,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves,Rk,Pos_y,Age_y,Tm_y,G_y,GS,MP_y,FG,FGA,FG%_y,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,0-3_attempts,3-10_attempts,10-16_attempts,16-3P_attempts,midrange_attempts,corner_3_attempts,0-3_made,3-10_made,10-16_made,16-3P_made,midrange_made,corner_3_made,EFG%_3P,PPS_0-3,PPS_3-10,PPS_10-16,PPS_16-3P,PPS_midrange,PPS_3P
261,Nikola Joki,C,25,DEN,72,2488,0.566,10.6,0.817,0.244,0.35,0.14,0.082,0.183,0.606,0.753,0.572,0.481,0.528,0.388,0.484,0.967,0.037,45,0.034,0.375,3,0,262,C,25,DEN,72,72,2488,732,1293,0.566,92,237,0.388,640,1056,0.606,0.602,342,394,0.868,205,575,780,599,95,48,222,192,1898,315.492,452.55000000000000,181.02,106.02600000000000,287.04600000000000,8.058,237.56547600000000,258.85860000000000,87.07062,55.98172800000000,143.05234800000000,3.02175,0.5820000000000000,1.506,1.144,0.962,1.056,0.9967207207207210,1.1640000000000000
266,Tyus Jones,PG,24,MEM,70,1222,0.431,14.2,0.661,0.133,0.225,0.257,0.046,0.339,0.487,0.527,0.484,0.5,0.316,0.321,0.293,0.911,0.0,0,0.3,0.31,0,0,267,PG,24,MEM,70,9,1222,178,413,0.431,45,140,0.321,133,273,0.487,0.485,41,45,0.911,21,119,140,259,64,6,48,31,442,54.929,92.925,106.141,18.998,125.13900000000000,42.0,28.947583,44.975700000000000,53.0705,6.003368,59.073868000000000,13.02,0.48150000000000000,1.054,0.968,1.0,0.632,0.9441320132013200,0.9630000000000000
268,Cory Joseph,PG,29,TOT,63,1446,0.469,13.0,0.69,0.218,0.254,0.143,0.075,0.31,0.527,0.753,0.463,0.328,0.469,0.341,0.335,0.889,0.0,0,0.303,0.4,0,0,269,PG,29,TOT,63,13,1446,200,426,0.469,45,132,0.341,155,294,0.527,0.522,72,88,0.818,35,124,159,213,61,18,79,139,517,92.868,108.20400000000000,60.91800000000000,31.95,92.868,39.996,69.929604,50.09845200000000,19.981104,14.984550000000000,34.965654,15.998400000000000,0.5115000000000000,1.506,0.926,0.656,0.938,0.7530183486238530,1.0230000000000000
270,Frank Kaminsky,C,27,PHO,47,715,0.471,12.2,0.669,0.276,0.276,0.07,0.047,0.331,0.523,0.676,0.451,0.444,0.167,0.365,0.767,1.0,0.035,9,0.188,0.5,0,0,271,C,27,PHO,47,13,715,121,257,0.471,31,85,0.365,90,172,0.523,0.531,37,60,0.617,36,152,188,79,14,17,22,70,310,70.932,70.932,17.990000000000000,12.079,30.069000000000000,15.98,47.95003200000000,31.990332000000000,7.987560000000000,2.0171930000000000,10.004753000000000,7.99,0.5475,1.352,0.902,0.888,0.334,0.6654529914529910,1.095
272,Luke Kennard,SG,24,LAC,63,1232,0.476,18.9,0.459,0.089,0.094,0.143,0.133,0.541,0.511,0.757,0.462,0.475,0.418,0.446,0.66,0.8,0.0,0,0.295,0.47,1,1,273,SG,24,LAC,63,17,1232,197,414,0.476,100,224,0.446,97,190,0.511,0.597,26,31,0.839,15,146,161,104,23,9,48,91,520,36.846,38.916,59.202,55.062000000000000,114.26400000000000,66.08,27.892422000000000,17.979192000000000,28.120950000000000,23.015916,51.136866,31.057600000000000,0.669,1.514,0.924,0.95,0.836,0.8950652173913040,1.338
274,Maxi Kleber,PF,29,DAL,50,1341,0.422,20.9,0.229,0.102,0.047,0.055,0.025,0.771,0.46,0.643,0.154,0.467,0.286,0.41,0.793,1.0,0.044,8,0.316,0.418,0,0,275,PF,29,DAL,50,40,1341,116,275,0.422,87,212,0.41,29,63,0.46,0.58,34,37,0.919,47,213,260,68,24,35,30,105,353,28.050000000000000,12.925,15.125,6.875,22.0,66.992,18.03615,1.99045,7.063375000000000,1.9662500000000000,9.029625000000000,28.002656,0.615,1.286,0.308,0.934,0.572,0.8208750000000000,1.23
278,Furkan Korkmaz,SG,23,PHI,55,1062,0.401,19.5,0.366,0.137,0.09,0.064,0.075,0.634,0.445,0.655,0.289,0.333,0.344,0.375,0.449,0.941,0.026,10,0.249,0.403,4,0,279,SG,23,PHI,55,11,1062,170,424,0.401,101,269,0.375,69,155,0.445,0.52,60,82,0.732,17,96,113,82,49,9,46,64,501,58.08800000000000,38.16,27.136,31.800000000000000,58.93600000000000,66.981,38.04764000000000,11.028240000000000,9.036288,10.939200000000000,19.975488,26.993343,0.5625,1.31,0.578,0.666,0.688,0.6778705035971220,1.125
281,Kyle Kuzma,SF,25,LAL,68,1954,0.443,16.0,0.498,0.24,0.124,0.063,0.07,0.502,0.525,0.687,0.394,0.292,0.415,0.361,0.545,0.927,0.048,29,0.295,0.357,1,0,282,SF,25,LAL,68,32,1954,335,757,0.443,137,380,0.361,198,377,0.525,0.533,67,97,0.691,108,309,417,127,35,41,113,121,874,181.68,93.868,47.691,52.99,100.68100000000000,112.1,124.81416000000000,36.983992,13.925772,21.99085,35.916622,40.01970000000000,0.5415,1.374,0.788,0.584,0.83,0.7134736842105260,1.083
283,Jeremy Lamb,SG,28,IND,36,765,0.435,16.4,0.536,0.181,0.159,0.149,0.047,0.464,0.459,0.58,0.364,0.488,0.231,0.406,0.529,0.827,0.0,0,0.094,0.417,1,0,284,SG,28,IND,36,8,765,120,276,0.435,52,128,0.406,68,148,0.459,0.529,71,75,0.947,25,106,131,53,34,23,22,72,363,49.956000000000000,43.884,41.124000000000000,12.972,54.096,12.032,28.974480000000000,15.973776000000000,20.068512,2.996532,23.065044,5.017344,0.609,1.16,0.728,0.976,0.462,0.8527448979591840,1.218
285,Zach LaVine,SG,25,CHI,58,2034,0.507,14.9,0.575,0.31,0.093,0.061,0.11,0.425,0.571,0.693,0.362,0.478,0.46,0.419,0.355,0.515,0.05,53,0.145,0.478,1,0,286,SG,25,CHI,58,58,2034,569,1123,0.507,200,477,0.419,369,646,0.571,0.596,253,298,0.849,36,253,289,282,46,27,203,138,1591,348.13,104.439,68.503,123.53,192.03300000000000,69.16500000000000,241.25409,37.806918000000000,32.744434,56.823800000000000,89.568234,33.060870000000000,0.6285,1.386,0.724,0.956,0.92,0.9328421052631580,1.257
