Player,Pos,Age,Tm,G,MP,FG%,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves
Joe Ingles\inglejo01,SF,33,UTA,67,1867,0.489,19.8,0.278,0.105,0.137,0.025,0.011,0.722,0.590,0.729,0.506,0.571,0.333,0.451,0.315,0.716,0.002,1,0.209,0.506,1,0
Brandon Ingram\ingrabr01,SF,23,NOP,61,2093,0.466,15.9,0.659,0.144,0.115,0.224,0.176,0.341,0.510,0.677,0.417,0.449,0.510,0.381,0.368,0.790,0.027,26,0.165,0.306,3,0
Kyrie Irving\irvinky01,PG,28,BRK,54,1886,0.506,14.6,0.652,0.195,0.196,0.159,0.101,0.348,0.561,0.623,0.535,0.520,0.555,0.402,0.234,0.579,0.005,3,0.071,0.370,0,0
Wesley Iwundu\iwundwe01,SF,26,TOT,41,539,0.333,12.0,0.598,0.373,0.176,0.020,0.029,0.402,0.475,0.579,0.278,0.500,0.333,0.122,0.828,1.000,0.088,8,0.512,0.143,0,0
Wesley Iwundu\iwundwe01,SF,26,DAL,23,288,0.327,12.7,0.558,0.365,0.135,0.038,0.019,0.442,0.483,0.579,0.286,0.500,0.000,0.130,0.857,1.000,0.115,5,0.565,0.154,0,0
Wesley Iwundu\iwundwe01,SF,26,NOP,18,251,0.340,11.3,0.640,0.380,0.220,0.000,0.040,0.360,0.469,0.579,0.273,,0.500,0.111,0.800,1.000,0.060,3,0.444,0.125,0,0
Frank Jackson\jacksfr01,PG,22,DET,40,738,0.457,16.4,0.488,0.133,0.208,0.109,0.038,0.512,0.510,0.590,0.541,0.406,0.364,0.407,0.548,0.984,0.020,4,0.420,0.508,0,0
Jaren Jackson Jr.\jacksja02,C,21,MEM,11,258,0.424,14.7,0.520,0.192,0.280,0.040,0.008,0.480,0.554,0.708,0.486,0.400,0.000,0.283,0.667,1.000,0.104,11,0.267,0.250,1,0
Josh Jackson\jacksjo02,SG,23,DET,62,1560,0.419,13.4,0.636,0.267,0.221,0.064,0.085,0.364,0.487,0.619,0.385,0.333,0.450,0.300,0.457,0.922,0.038,23,0.268,0.319,2,0
Justin Jackson\jacksju01,SF,25,TOT,34,577,0.403,16.8,0.471,0.136,0.213,0.095,0.027,0.529,0.510,0.700,0.468,0.333,0.500,0.308,0.717,0.806,0.005,1,0.162,0.211,0,0
