Player,Pos,Age,Tm,G,MP,FG%,Dist.,%_of FGA_2P,%_of FGA_0-3,%_of FGA_3-10,%_of FGA_10-16,%_of FGA_16-3P,%_of FGA_3P,FG%_2P,FG%_0-3,FG%_3-10,FG%_10-16,FG%_16-3P,FG%_3P,%_Ast’d_2P,%_Ast’d_3P,%FGA_Dunks,#_Dunks,%3PA_Corner,3P%_Corner,Heaves_Att.,#_Heaves
Shake Milton\miltosh01,SG,24,PHI,63,1461,0.450,13.9,0.696,0.193,0.214,0.181,0.106,0.304,0.494,0.620,0.420,0.479,0.437,0.350,0.362,0.803,0.000,0,0.182,0.432,0,0
Donovan Mitchell\mitchdo01,PG,24,UTA,53,1771,0.438,16.0,0.577,0.157,0.219,0.093,0.108,0.423,0.476,0.608,0.418,0.451,0.424,0.386,0.150,0.500,0.022,14,0.104,0.375,4,0
Adam Mokoka\mokokad01,SG,22,CHI,14,56,0.368,13.7,0.474,0.421,0.053,0.000,0.000,0.526,0.667,0.750,0.000,,,0.100,0.333,1.000,0.000,0,0.300,0.333,0,0
Malik Monk\monkma01,SG,22,CHO,42,878,0.434,16.8,0.469,0.228,0.125,0.065,0.050,0.531,0.471,0.582,0.400,0.231,0.450,0.401,0.432,0.800,0.023,8,0.156,0.576,0,0
E'Twaun Moore\mooreet01,SG,31,PHO,27,389,0.455,13.0,0.711,0.174,0.314,0.132,0.091,0.289,0.512,0.381,0.474,0.750,0.545,0.314,0.432,0.909,0.008,1,0.200,0.429,0,0
Ja Morant\moranja01,PG,21,MEM,63,2053,0.449,10.7,0.748,0.335,0.261,0.132,0.020,0.252,0.499,0.632,0.372,0.437,0.316,0.303,0.294,0.603,0.060,46,0.104,0.240,1,0
Juwan Morgan\morgaju01,PF,23,UTA,29,147,0.467,12.3,0.567,0.433,0.100,0.033,0.000,0.433,0.588,0.692,0.333,0.000,,0.308,0.700,1.000,0.067,2,0.231,0.333,0,0
Marcus Morris\morrima03,PF,31,LAC,57,1502,0.473,18.4,0.493,0.082,0.098,0.200,0.113,0.507,0.472,0.604,0.316,0.504,0.455,0.473,0.456,0.936,0.007,3,0.318,0.564,3,0
Markieff Morris\morrima02,PF,31,LAL,61,1200,0.405,17.6,0.447,0.132,0.138,0.119,0.058,0.553,0.521,0.700,0.500,0.444,0.318,0.311,0.545,1.000,0.016,5,0.330,0.333,1,0
Monte Morris\morrimo01,PG,25,DEN,47,1196,0.481,14.0,0.654,0.235,0.186,0.119,0.114,0.346,0.534,0.769,0.333,0.543,0.364,0.381,0.400,0.804,0.003,1,0.276,0.270,2,0
Mychal Mulder\muldemy01,PG,26,GSW,60,766,0.449,21.0,0.192,0.147,0.034,0.004,0.008,0.808,0.667,0.795,0.333,0.000,0.000,0.397,0.912,1.000,0.057,14,0.322,0.377,0,0
Dejounte Murray\murrade01,PG,24,SAS,67,2139,0.453,12.6,0.796,0.193,0.205,0.266,0.131,0.204,0.488,0.649,0.390,0.452,0.477,0.317,0.275,0.857,0.013,12,0.206,0.293,0,0
Jamal Murray\murraja01,PG,23,DEN,48,1704,0.477,16.9,0.601,0.124,0.144,0.145,0.188,0.399,0.523,0.816,0.465,0.496,0.396,0.408,0.333,0.581,0.027,19,0.136,0.488,1,0
Mike Muscala\muscami01,C,29,OKC,35,645,0.446,19.9,0.311,0.131,0.075,0.041,0.064,0.689,0.614,0.714,0.500,0.818,0.412,0.370,0.765,0.971,0.015,4,0.255,0.426,1,0
Sviatoslav Mykhailiuk\mykhasv01,SF-SG,23,TOT,66,1324,0.411,17.6,0.379,0.209,0.105,0.040,0.026,0.621,0.536,0.660,0.302,0.500,0.538,0.334,0.563,0.886,0.030,14,0.223,0.414,1,0
Sviatoslav Mykhailiuk\mykhasv01,SF,23,DET,36,634,0.377,20.6,0.233,0.130,0.072,0.018,0.013,0.767,0.519,0.655,0.313,0.250,0.667,0.333,0.630,0.895,0.000,0,0.152,0.308,0,0
Sviatoslav Mykhailiuk\mykhasv01,SG,23,OKC,30,690,0.438,15.3,0.495,0.272,0.131,0.057,0.035,0.505,0.543,0.662,0.297,0.563,0.500,0.336,0.539,0.875,0.053,14,0.308,0.477,1,0
Abdel Nader\naderab01,SF,27,PHO,24,355,0.491,11.7,0.629,0.353,0.224,0.043,0.009,0.371,0.534,0.683,0.385,0.200,0.000,0.419,0.718,1.000,0.052,6,0.349,0.467,0,0
Larry Nance Jr.\nancela02,PF,28,CLE,35,1091,0.471,13.5,0.581,0.313,0.162,0.059,0.048,0.419,0.551,0.682,0.432,0.250,0.462,0.360,0.747,0.951,0.169,42,0.281,0.344,0,0
Aaron Nesmith\nesmiaa01,SF,21,BOS,46,669,0.438,17.1,0.393,0.169,0.163,0.051,0.011,0.607,0.543,0.667,0.448,0.444,0.500,0.370,0.447,1.000,0.034,4,0.398,0.372,0,0
Raul Neto\netora01,PG,28,WAS,64,1403,0.468,13.7,0.633,0.172,0.315,0.105,0.040,0.367,0.512,0.610,0.489,0.511,0.278,0.390,0.421,0.938,0.000,0,0.274,0.356,2,0
Georges Niang\niangge01,PF,27,UTA,72,1154,0.437,19.8,0.279,0.067,0.128,0.072,0.012,0.721,0.469,0.593,0.538,0.276,0.200,0.425,0.698,0.992,0.005,2,0.360,0.419,0,0
Zeke Nnaji\nnajize01,PF,20,DEN,42,397,0.481,16.3,0.433,0.212,0.135,0.058,0.029,0.567,0.578,0.864,0.214,0.500,0.333,0.407,0.769,0.958,0.058,6,0.407,0.458,0,0
Nerlens Noel\noelne01,C,26,NYK,64,1547,0.614,3.7,0.987,0.686,0.202,0.081,0.018,0.013,0.623,0.706,0.489,0.278,0.500,0.000,0.737,,0.390,76,0.333,0.000,0,0
Jaylen Nowell\nowelja01,SG,21,MIN,42,759,0.424,15.9,0.552,0.176,0.179,0.125,0.072,0.448,0.497,0.559,0.383,0.619,0.417,0.333,0.446,0.800,0.015,5,0.193,0.448,1,0
Frank Ntilikina\ntilila01,PG,22,NYK,33,322,0.367,20.5,0.392,0.038,0.076,0.152,0.127,0.608,0.194,0.667,0.167,0.167,0.100,0.479,0.000,0.957,0.000,0,0.354,0.706,1,0
Kendrick Nunn\nunnke01,PG,25,MIA,56,1650,0.485,16.1,0.514,0.229,0.120,0.087,0.078,0.486,0.583,0.755,0.405,0.421,0.529,0.381,0.452,0.852,0.021,12,0.188,0.317,1,0
James Nunnally\nunnaja01,SF,30,NOP,9,48,0.385,23.8,0.077,0.000,0.000,0.000,0.077,0.923,1.000,,,,1.000,0.333,1.000,1.000,0.000,0,0.500,0.500,0,0
Jusuf Nurkić\nurkiju01,C,26,POR,37,880,0.514,5.7,0.910,0.565,0.270,0.042,0.033,0.090,0.525,0.596,0.433,0.500,0.091,0.400,0.711,0.917,0.093,28,0.000,,1,0
David Nwaba\nwabada01,SF,28,HOU,30,679,0.486,9.2,0.711,0.482,0.206,0.023,0.000,0.289,0.574,0.667,0.422,0.000,,0.270,0.562,1.000,0.060,12,0.460,0.207,0,0
Jordan Nwora\nworajo01,SF,22,MIL,30,274,0.459,16.8,0.541,0.193,0.133,0.096,0.119,0.459,0.466,0.577,0.389,0.308,0.500,0.452,0.441,0.643,0.022,1,0.194,0.417,1,0
Royce O'Neale\onealro01,SF,27,UTA,71,2241,0.444,19.0,0.294,0.193,0.079,0.010,0.013,0.706,0.586,0.737,0.323,0.500,0.000,0.385,0.603,0.981,0.051,18,0.306,0.424,0,0
Semi Ojeleye\ojelese01,PF,26,BOS,56,950,0.403,19.7,0.285,0.100,0.109,0.054,0.023,0.715,0.492,0.636,0.542,0.250,0.200,0.367,0.613,0.983,0.027,6,0.462,0.342,0,0
Jahlil Okafor\okafoja01,C,25,DET,27,347,0.618,5.9,0.912,0.520,0.304,0.059,0.029,0.088,0.656,0.717,0.613,0.333,0.667,0.222,0.475,1.000,0.118,11,0.111,0.000,0,0
Chuma Okeke\okekech01,PF,22,ORL,45,1133,0.417,16.9,0.565,0.154,0.157,0.117,0.136,0.435,0.470,0.680,0.333,0.447,0.409,0.348,0.407,0.980,0.022,7,0.149,0.381,3,0
Josh Okogie\okogijo01,SG,22,MIN,59,1197,0.402,12.3,0.575,0.409,0.134,0.012,0.020,0.425,0.500,0.615,0.235,0.000,0.200,0.269,0.603,1.000,0.087,16,0.398,0.279,0,0
Onyeka Okongwu\okongon01,C,20,ATL,50,601,0.644,4.1,0.980,0.591,0.302,0.060,0.027,0.020,0.658,0.795,0.511,0.222,0.250,0.000,0.750,,0.215,32,0.333,0.000,0,0
Isaac Okoro\okorois01,SG,20,CLE,67,2173,0.420,11.8,0.617,0.377,0.197,0.023,0.020,0.383,0.501,0.611,0.364,0.077,0.273,0.290,0.659,0.871,0.063,32,0.383,0.366,0,0
KZ Okpala\okpalkz01,PF,21,MIA,37,447,0.375,14.5,0.479,0.302,0.146,0.010,0.021,0.521,0.522,0.655,0.357,0.000,0.000,0.240,0.667,1.000,0.042,4,0.520,0.269,0,0
Victor Oladipo\oladivi01,SG,28,TOT,33,1080,0.408,15.1,0.585,0.247,0.156,0.085,0.097,0.415,0.466,0.655,0.356,0.306,0.304,0.326,0.357,0.654,0.030,14,0.151,0.306,0,0
Victor Oladipo\oladivi01,SG,28,IND,9,300,0.421,15.2,0.546,0.316,0.105,0.046,0.079,0.454,0.470,0.542,0.500,0.286,0.250,0.362,0.487,0.720,0.026,4,0.087,0.333,0,0
Victor Oladipo\oladivi01,SG,28,HOU,20,669,0.407,15.1,0.598,0.220,0.173,0.100,0.105,0.402,0.465,0.690,0.318,0.342,0.350,0.320,0.274,0.592,0.026,7,0.157,0.292,0,0
Victor Oladipo\oladivi01,SG,28,MIA,4,111,0.372,14.5,0.605,0.233,0.186,0.093,0.093,0.395,0.462,0.900,0.375,0.000,0.000,0.235,0.667,1.000,0.070,3,0.353,0.333,0,0
Cameron Oliver\oliveca01,SF,24,HOU,4,87,0.576,12.6,0.606,0.394,0.121,0.091,0.000,0.394,0.750,0.769,0.750,0.667,,0.308,0.867,1.000,0.152,5,0.000,,0,0
Kelly Olynyk\olynyke01,C-PF,29,TOT,70,1997,0.484,15.6,0.472,0.286,0.135,0.030,0.022,0.528,0.641,0.769,0.479,0.286,0.467,0.342,0.739,0.937,0.032,20,0.158,0.276,0,0
Kelly Olynyk\olynyke01,C,29,MIA,43,1157,0.431,18.1,0.354,0.226,0.082,0.024,0.021,0.646,0.639,0.729,0.548,0.222,0.500,0.317,0.871,0.974,0.027,10,0.185,0.200,0,0
Kelly Olynyk\olynyke01,PF,29,HOU,27,840,0.545,12.6,0.611,0.355,0.196,0.037,0.022,0.389,0.643,0.798,0.444,0.333,0.429,0.392,0.651,0.878,0.037,10,0.104,0.538,0,0
Miye Oni\onimi01,SG,23,UTA,54,519,0.354,21.9,0.111,0.061,0.051,0.000,0.000,0.889,0.455,0.500,0.400,,,0.341,0.600,1.000,0.030,2,0.568,0.380,0,0
Cedi Osman\osmande01,SF,25,CLE,59,1510,0.374,16.3,0.447,0.234,0.147,0.051,0.015,0.553,0.458,0.569,0.314,0.400,0.333,0.306,0.617,0.859,0.012,7,0.191,0.323,0,0
Daniel Oturu\oturuda01,C,21,LAC,30,161,0.423,7.2,0.904,0.462,0.269,0.096,0.077,0.096,0.447,0.583,0.214,0.600,0.250,0.200,0.381,1.000,0.115,5,0.200,0.000,0,0
Kelly Oubre Jr.\oubreke01,SF,25,GSW,55,1687,0.439,13.2,0.606,0.267,0.238,0.062,0.040,0.394,0.519,0.720,0.355,0.422,0.310,0.316,0.675,0.944,0.133,84,0.354,0.386,0,0
Jabari Parker\parkeja01,PF,25,TOT,13,165,0.545,11.0,0.800,0.309,0.218,0.109,0.164,0.200,0.636,0.941,0.500,0.333,0.444,0.182,0.643,1.000,0.182,10,0.182,0.000,0,0
Jabari Parker\parkeja01,PF,25,SAC,3,27,0.571,13.2,0.857,0.286,0.143,0.143,0.286,0.143,0.667,1.000,0.000,0.000,1.000,0.000,0.750,,0.000,0,0.000,,0,0
Jabari Parker\parkeja01,PF,25,BOS,10,138,0.542,10.6,0.792,0.313,0.229,0.104,0.146,0.208,0.632,0.933,0.545,0.400,0.286,0.200,0.625,1.000,0.208,10,0.200,0.000,0,0
Eric Paschall\pascher01,PF,24,GSW,40,695,0.497,11.3,0.819,0.265,0.265,0.104,0.185,0.181,0.533,0.671,0.443,0.452,0.509,0.333,0.562,0.944,0.081,22,0.204,0.364,0,0
Anžejs Pasečņiks\pasecan01,C,25,WAS,1,6,0.000,25.2,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,0.000,,,0.000,0,0.000,,0,0
Patrick Patterson\pattepa01,PF,31,LAC,38,582,0.436,18.6,0.321,0.182,0.079,0.042,0.018,0.679,0.604,0.700,0.462,0.571,0.333,0.357,0.656,0.975,0.048,7,0.446,0.340,1,0
Justin Patton\pattoju01,C,23,HOU,13,247,0.414,15.0,0.514,0.243,0.171,0.043,0.057,0.486,0.556,0.706,0.333,0.667,0.500,0.265,0.700,1.000,0.114,7,0.500,0.176,0,0
Chris Paul\paulch01,PG,35,PHO,70,2199,0.499,16.9,0.706,0.058,0.114,0.327,0.208,0.294,0.543,0.667,0.550,0.516,0.546,0.395,0.083,0.412,0.000,0,0.097,0.400,4,0
Cameron Payne\payneca01,PG,26,PHO,60,1079,0.484,15.1,0.580,0.159,0.253,0.124,0.043,0.420,0.515,0.667,0.430,0.490,0.529,0.440,0.280,0.685,0.000,0,0.133,0.455,2,0
Elfrid Payton\paytoel01,PG,26,NYK,63,1484,0.432,8.4,0.842,0.368,0.339,0.093,0.042,0.158,0.460,0.576,0.393,0.293,0.346,0.286,0.270,0.964,0.014,7,0.398,0.308,0,0
Gary Payton II\paytoga02,PG,28,GSW,10,40,0.769,8.6,0.692,0.615,0.077,0.000,0.000,0.308,0.889,0.875,1.000,,,0.500,0.750,1.000,0.231,2,0.750,0.333,0,0
Norvel Pelle\pelleno01,C,27,TOT,13,84,0.533,1.6,1.000,0.733,0.267,0.000,0.000,0.000,0.533,0.545,0.500,,,,0.500,,0.400,4,,,0,0
Norvel Pelle\pelleno01,C,27,BRK,3,28,0.429,1.2,1.000,0.857,0.143,0.000,0.000,0.000,0.429,0.500,0.000,,,,0.667,,0.429,2,,,0,0
Norvel Pelle\pelleno01,C,27,SAC,1,4,0.000,1.4,1.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,1.000,0,,,0,0
Norvel Pelle\pelleno01,C,27,NYK,9,52,0.714,2.1,1.000,0.571,0.429,0.000,0.000,0.000,0.714,0.750,0.667,,,,0.400,,0.286,2,,,0,0
Reggie Perry\perryre01,PF,20,BRK,26,211,0.410,8.9,0.731,0.551,0.141,0.026,0.013,0.269,0.491,0.628,0.000,0.500,0.000,0.190,0.643,1.000,0.090,7,0.190,0.000,0,0
Theo Pinson\pinsoth01,SG,25,NYK,17,34,0.111,25.0,0.111,0.000,0.000,0.111,0.000,0.889,1.000,,,1.000,,0.000,0.000,,0.000,0,0.000,,0,0
Mason Plumlee\plumlma01,C,30,DET,56,1499,0.614,4.6,0.982,0.575,0.304,0.052,0.050,0.018,0.626,0.795,0.422,0.250,0.316,0.000,0.722,,0.281,99,0.571,0.000,0,0
Jakob Poeltl\poeltja01,C,25,SAS,69,1845,0.616,3.7,1.000,0.581,0.333,0.074,0.012,0.000,0.616,0.720,0.490,0.438,0.200,,0.755,,0.100,40,,,0,0
Vincent Poirier\poirivi01,C,27,PHI,10,39,0.250,8.6,0.917,0.417,0.083,0.250,0.167,0.083,0.273,0.400,0.000,0.333,0.000,0.000,0.000,,0.000,0,0.000,,0,0
Aleksej Pokusevski\pokusal01,PF,19,OKC,45,1090,0.341,17.5,0.493,0.137,0.147,0.120,0.088,0.507,0.403,0.554,0.333,0.408,0.278,0.280,0.432,0.914,0.032,11,0.193,0.325,1,0
Jordan Poole\poolejo01,SG,21,GSW,51,988,0.432,18.6,0.418,0.148,0.133,0.082,0.055,0.582,0.545,0.743,0.460,0.436,0.385,0.351,0.611,0.897,0.023,11,0.109,0.600,1,1
Jontay Porter\portejo01,PF,21,MEM,11,54,0.533,18.5,0.467,0.200,0.067,0.067,0.133,0.533,0.714,0.667,1.000,1.000,0.500,0.375,0.600,1.000,0.067,1,0.000,,0,0
Kevin Porter Jr.\porteke02,SG,20,HOU,26,835,0.425,15.3,0.561,0.210,0.180,0.095,0.076,0.439,0.515,0.740,0.364,0.400,0.393,0.311,0.179,0.400,0.052,18,0.137,0.318,0,0
Michael Porter Jr.\portemi01,SF,22,DEN,61,1912,0.542,15.9,0.532,0.226,0.131,0.073,0.102,0.468,0.628,0.838,0.486,0.417,0.494,0.445,0.714,0.918,0.095,75,0.230,0.489,2,0
Otto Porter\porteot01,SF-PF,27,TOT,28,606,0.432,16.9,0.542,0.137,0.154,0.110,0.141,0.458,0.480,0.774,0.314,0.480,0.375,0.375,0.610,0.974,0.004,1,0.288,0.467,1,0
Otto Porter\porteot01,SF,27,CHI,25,540,0.441,17.1,0.530,0.129,0.153,0.109,0.139,0.470,0.477,0.769,0.323,0.500,0.357,0.400,0.588,1.000,0.005,1,0.316,0.467,1,0
Otto Porter\porteot01,PF,27,ORL,3,66,0.360,15.8,0.640,0.200,0.160,0.120,0.160,0.360,0.500,0.800,0.250,0.333,0.500,0.111,0.750,0.000,0.000,0,0.000,,0,0
Bobby Portis\portibo01,C,25,MIL,66,1372,0.523,12.4,0.737,0.264,0.194,0.162,0.117,0.263,0.542,0.671,0.457,0.495,0.457,0.471,0.536,1.000,0.062,27,0.382,0.467,0,0
Kristaps Porziņģis\porzikr01,C,25,DAL,43,1327,0.476,15.1,0.622,0.223,0.154,0.157,0.089,0.378,0.536,0.750,0.457,0.402,0.377,0.376,0.711,0.969,0.101,59,0.062,0.625,3,0
Dwight Powell\poweldw01,C,29,DAL,58,966,0.619,4.5,0.892,0.737,0.144,0.010,0.000,0.108,0.665,0.755,0.250,0.000,,0.238,0.843,1.000,0.340,58,0.000,,0,0
Norman Powell\powelno01,SG-SF,27,TOT,69,2205,0.477,14.3,0.547,0.275,0.181,0.053,0.038,0.453,0.532,0.647,0.416,0.367,0.486,0.411,0.547,0.836,0.044,32,0.317,0.530,2,0
Norman Powell\powelno01,SG,27,TOR,42,1277,0.498,14.6,0.525,0.265,0.184,0.042,0.034,0.475,0.552,0.647,0.471,0.292,0.579,0.439,0.555,0.814,0.044,19,0.327,0.534,1,0
Norman Powell\powelno01,SF,27,POR,27,928,0.443,13.7,0.582,0.290,0.176,0.071,0.045,0.418,0.502,0.647,0.323,0.440,0.375,0.361,0.534,0.887,0.043,13,0.299,0.523,1,0
Taurean Prince\princta02,PF,26,TOT,41,905,0.401,15.9,0.526,0.183,0.180,0.104,0.058,0.474,0.401,0.550,0.271,0.382,0.368,0.400,0.536,0.855,0.024,7,0.284,0.523,2,0
Taurean Prince\princta02,PF,26,BRK,12,218,0.405,16.8,0.500,0.162,0.176,0.081,0.081,0.500,0.459,0.833,0.231,0.333,0.333,0.351,0.706,0.846,0.027,2,0.270,0.400,1,0
Taurean Prince\princta02,PF,26,CLE,29,687,0.399,15.6,0.534,0.190,0.182,0.111,0.051,0.466,0.385,0.479,0.283,0.393,0.385,0.415,0.481,0.857,0.024,5,0.288,0.559,1,0
Payton Pritchard\pritcpa01,SG,23,BOS,66,1268,0.440,18.7,0.407,0.146,0.139,0.065,0.057,0.593,0.482,0.639,0.379,0.370,0.458,0.411,0.378,0.843,0.000,0,0.153,0.447,1,0
Immanuel Quickley\quickim01,PG,21,NYK,64,1243,0.395,18.4,0.478,0.059,0.209,0.148,0.062,0.522,0.401,0.618,0.397,0.360,0.306,0.389,0.198,0.610,0.005,3,0.079,0.375,0,0
Jahmi'us Ramsey\ramseja01,SG,19,SAC,13,94,0.395,15.3,0.500,0.289,0.079,0.105,0.026,0.500,0.526,0.818,0.000,0.250,0.000,0.263,0.700,1.000,0.053,2,0.263,0.400,0,0
Chasson Randle\randlch01,PG,27,ORL,41,837,0.388,17.5,0.451,0.203,0.131,0.051,0.068,0.549,0.449,0.708,0.258,0.167,0.250,0.338,0.271,0.682,0.000,0,0.138,0.278,2,0
Julius Randle\randlju01,PF,26,NYK,71,2667,0.456,14.5,0.706,0.162,0.176,0.201,0.167,0.294,0.474,0.659,0.408,0.434,0.414,0.411,0.342,0.794,0.022,25,0.219,0.412,1,0
Cam Reddish\reddica01,SF,21,ATL,26,750,0.365,15.1,0.521,0.243,0.160,0.068,0.049,0.479,0.460,0.656,0.262,0.278,0.385,0.262,0.603,0.939,0.053,11,0.270,0.324,2,0
J.J. Redick\redicjj01,SG,36,TOT,44,723,0.397,22.3,0.333,0.022,0.007,0.082,0.221,0.667,0.449,0.667,0.500,0.409,0.441,0.371,0.775,0.939,0.000,0,0.180,0.375,0,0
J.J. Redick\redicjj01,SG,36,NOP,31,576,0.407,22.3,0.346,0.019,0.005,0.093,0.229,0.654,0.486,0.750,0.000,0.450,0.490,0.364,0.806,0.922,0.000,0,0.207,0.379,0,0
J.J. Redick\redicjj01,SG,36,DAL,13,147,0.358,22.5,0.283,0.038,0.019,0.038,0.189,0.717,0.267,0.500,1.000,0.000,0.200,0.395,0.500,1.000,0.000,0,0.079,0.333,0,0
Paul Reed\reedpa01,PF,21,PHI,26,177,0.538,6.2,0.923,0.551,0.244,0.051,0.077,0.077,0.583,0.721,0.316,0.500,0.500,0.000,0.667,,0.205,14,0.333,0.000,0,0
Naz Reid\reidna01,C,21,MIN,70,1347,0.523,10.0,0.701,0.418,0.263,0.017,0.002,0.299,0.597,0.704,0.464,0.100,0.000,0.351,0.626,1.000,0.084,43,0.224,0.333,1,0
Cameron Reynolds\reynoca01,SF,25,TOT,5,40,0.333,18.7,0.333,0.111,0.111,0.111,0.000,0.667,0.500,0.500,0.500,0.500,,0.250,1.000,0.667,0.056,1,0.500,0.167,0,0
Cameron Reynolds\reynoca01,SF,25,SAS,3,6,0.500,8.5,1.000,0.000,1.000,0.000,0.000,0.000,0.500,,0.500,,,,1.000,,0.000,0,,,0,0
Cameron Reynolds\reynoca01,SF,25,HOU,2,34,0.313,20.0,0.250,0.125,0.000,0.125,0.000,0.750,0.500,0.500,,0.500,,0.250,1.000,0.667,0.063,1,0.500,0.167,0,0
Nick Richards\richani01,PF,23,CHO,18,63,0.444,5.2,0.889,0.667,0.222,0.000,0.000,0.111,0.500,0.500,0.500,,,0.000,1.000,,0.333,3,0.000,,0,0
Josh Richardson\richajo01,SG,27,DAL,59,1790,0.427,16.2,0.568,0.160,0.160,0.150,0.097,0.432,0.501,0.677,0.404,0.495,0.383,0.330,0.443,0.830,0.010,5,0.180,0.292,1,0
Grant Riller\rillegr01,PG,23,CHO,7,27,0.667,16.8,0.667,0.250,0.000,0.083,0.333,0.333,0.750,1.000,,1.000,0.500,0.500,0.167,1.000,0.000,0,0.250,1.000,0,0
Austin Rivers\riverau01,SG,28,TOT,36,845,0.424,17.5,0.392,0.171,0.163,0.049,0.008,0.608,0.510,0.714,0.300,0.500,0.500,0.369,0.286,0.764,0.000,0,0.208,0.290,1,0
Austin Rivers\riverau01,SG,28,NYK,21,442,0.430,17.0,0.430,0.178,0.185,0.059,0.007,0.570,0.517,0.708,0.280,0.625,1.000,0.364,0.300,0.643,0.000,0,0.195,0.267,1,0
Austin Rivers\riverau01,SG,28,DEN,15,403,0.418,18.1,0.345,0.164,0.136,0.036,0.009,0.655,0.500,0.722,0.333,0.250,0.000,0.375,0.263,0.889,0.000,0,0.222,0.313,0,0
Andre Roberson\roberan03,SG,29,BRK,5,63,0.143,14.7,0.429,0.357,0.071,0.000,0.000,0.571,0.167,0.200,0.000,,,0.125,0.000,1.000,0.000,0,0.500,0.000,0,0
Duncan Robinson\robindu01,SF,26,MIA,72,2262,0.439,22.8,0.145,0.079,0.029,0.022,0.014,0.855,0.625,0.825,0.429,0.438,0.200,0.408,0.892,0.972,0.006,4,0.186,0.368,0,0
Glenn Robinson III\robingl02,SF,27,SAC,23,369,0.424,14.2,0.556,0.202,0.253,0.061,0.040,0.444,0.473,0.400,0.640,0.167,0.250,0.364,0.615,1.000,0.040,2,0.591,0.423,0,0
Jerome Robinson\robinje01,SG,23,WAS,17,305,0.295,17.2,0.558,0.053,0.179,0.179,0.147,0.442,0.321,0.600,0.294,0.235,0.357,0.262,0.529,1.000,0.011,1,0.262,0.455,0,0
Justin Robinson\robinju01,PG,23,OKC,9,88,0.333,20.2,0.333,0.143,0.048,0.048,0.095,0.667,0.429,0.667,1.000,0.000,0.000,0.286,0.333,1.000,0.000,0,0.143,0.000,0,0
Mitchell Robinson\robinmi01,C,22,NYK,31,853,0.653,1.3,1.000,0.909,0.091,0.000,0.000,0.000,0.653,0.688,0.313,,,,0.626,,0.528,84,,,0,0
Isaiah Roby\robyis01,PF,22,OKC,61,1425,0.483,9.5,0.746,0.424,0.254,0.051,0.016,0.254,0.547,0.643,0.422,0.409,0.429,0.294,0.554,0.906,0.114,44,0.174,0.474,2,0
Rajon Rondo\rondora01,PG,34,TOT,45,770,0.442,13.5,0.586,0.326,0.195,0.023,0.042,0.414,0.468,0.600,0.262,0.400,0.444,0.404,0.136,0.639,0.000,0,0.112,0.400,0,0
Rajon Rondo\rondora01,PG,34,ATL,27,402,0.400,13.4,0.591,0.327,0.182,0.036,0.045,0.409,0.415,0.611,0.100,0.250,0.400,0.378,0.148,0.588,0.000,0,0.133,0.500,0,0
Rajon Rondo\rondora01,PG,34,LAC,18,368,0.486,13.5,0.581,0.324,0.210,0.010,0.038,0.419,0.525,0.588,0.409,1.000,0.500,0.432,0.125,0.684,0.000,0,0.091,0.250,0,0
Derrick Rose\rosede01,PG,32,TOT,50,1279,0.470,12.2,0.789,0.237,0.241,0.164,0.147,0.211,0.492,0.517,0.456,0.510,0.489,0.388,0.228,0.860,0.000,0,0.147,0.316,0,0
Derrick Rose\rosede01,PG,32,DET,15,342,0.429,11.7,0.788,0.288,0.196,0.190,0.114,0.212,0.455,0.472,0.472,0.429,0.429,0.333,0.197,0.692,0.000,0,0.103,0.250,0,0
Derrick Rose\rosede01,PG,32,NYK,35,937,0.487,12.4,0.789,0.215,0.260,0.152,0.162,0.211,0.507,0.543,0.450,0.554,0.507,0.411,0.240,0.919,0.000,0,0.167,0.333,0,0
Terrence Ross\rosste01,SG,29,ORL,46,1347,0.412,18.3,0.571,0.063,0.120,0.172,0.216,0.429,0.469,0.744,0.365,0.538,0.391,0.337,0.485,0.775,0.023,11,0.106,0.286,1,0
Terry Rozier\roziete01,SG,26,CHO,69,2383,0.450,16.6,0.496,0.183,0.150,0.097,0.066,0.504,0.512,0.615,0.418,0.564,0.360,0.389,0.403,0.829,0.011,12,0.243,0.453,2,0
Ricky Rubio\rubiori01,PG,30,MIN,68,1772,0.388,14.8,0.570,0.221,0.149,0.131,0.070,0.430,0.447,0.582,0.338,0.415,0.314,0.308,0.394,0.939,0.002,1,0.327,0.343,0,0
D'Angelo Russell\russeda01,PG,24,MIN,42,1196,0.431,17.9,0.525,0.121,0.118,0.124,0.161,0.475,0.471,0.658,0.481,0.346,0.419,0.387,0.286,0.592,0.002,1,0.084,0.538,1,0
Domantas Sabonis\sabondo01,PF,24,IND,62,2231,0.535,8.8,0.821,0.431,0.259,0.076,0.054,0.179,0.582,0.746,0.427,0.362,0.327,0.321,0.606,0.962,0.046,39,0.049,0.625,0,0
Luka Šamanić\samanlu01,PF,21,SAS,33,308,0.448,12.9,0.590,0.324,0.210,0.029,0.029,0.410,0.565,0.735,0.364,0.000,0.667,0.279,0.571,1.000,0.048,4,0.093,0.000,0,0
JaKarr Sampson\sampsja02,PF,27,IND,29,316,0.496,6.8,0.867,0.478,0.327,0.027,0.035,0.133,0.541,0.519,0.541,0.667,0.750,0.200,0.698,1.000,0.071,6,0.600,0.000,0,0
